agent,seed,mean_score,std_score
hcapo,1,0.21545333333333333,0.07251710480216987
hcapo,7,0.22881999999999994,0.07587533811017473
hcapo,21,0.22878666666666667,0.07770577727699673
hcapo,42,0.23255333333333333,0.07462010333832446
hcapo,123,0.2019133333333333,0.05536052584849807
mira,1,0.20214666666666667,0.08309758012254162
mira,7,0.22207333333333334,0.062033264911300255
mira,21,0.21112,0.0632635671878636
mira,42,0.19816,0.06522356220467161
mira,123,0.21360666666666667,0.08778812726609954
klong,1,0.2283,0.07315482212404047
klong,7,0.21312000000000003,0.06906938733380126
klong,21,0.22899333333333335,0.07345320021770475
klong,42,0.22825333333333334,0.08955721349444101
klong,123,0.17741333333333337,0.0509148683806825
memex,1,0.2442,0.11417349371314985
memex,7,0.24411333333333332,0.0897771824512715
memex,21,0.1995666666666667,0.07121528550029754
memex,42,0.19055333333333332,0.05361535683821278
memex,123,0.19539999999999996,0.0652284498257215
